kraken_pluspfp_100_report_bracken_species	kraken_pluspfp_105_report_bracken_species	kraken_pluspfp_110_report_bracken_species	kraken_pluspfp_111_report_bracken_species	kraken_pluspfp_112_report_bracken_species	kraken_pluspfp_117_report_bracken_species	kraken_pluspfp_121_report_bracken_species	kraken_pluspfp_122_report_bracken_species	kraken_pluspfp_123_report_bracken_species	kraken_pluspfp_129_report_bracken_species	kraken_pluspfp_133_report_bracken_species	kraken_pluspfp_134_report_bracken_species	kraken_pluspfp_135_report_bracken_species	kraken_pluspfp_140_report_bracken_species	kraken_pluspfp_141_report_bracken_species	kraken_pluspfp_145_report_bracken_species	kraken_pluspfp_146_report_bracken_species	kraken_pluspfp_147_report_bracken_species	kraken_pluspfp_152_report_bracken_species	kraken_pluspfp_153_report_bracken_species	kraken_pluspfp_157_report_bracken_species	kraken_pluspfp_158_report_bracken_species	kraken_pluspfp_159_report_bracken_species	kraken_pluspfp_164_report_bracken_species	kraken_pluspfp_165_report_bracken_species	kraken_pluspfp_169_report_bracken_species	kraken_pluspfp_170_report_bracken_species	kraken_pluspfp_171_report_bracken_species	kraken_pluspfp_176_report_bracken_species	kraken_pluspfp_177_report_bracken_species	kraken_pluspfp_181_report_bracken_species	kraken_pluspfp_182_report_bracken_species	kraken_pluspfp_183_report_bracken_species	kraken_pluspfp_188_report_bracken_species	kraken_pluspfp_98_report_bracken_species	kraken_pluspfp_99_report_bracken_species	taxonomy
381046	61	86	67	92	53	104	69	77	72	79	62	62	62	91	95	69	91	80	84	64	62	94	80	58	88	76	104	69	91	51	67	48	65	87	62	74	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Lachancea; s__thermotolerans
48254	38	58	41	52	40	60	59	47	42	44	35	65	38	54	70	58	40	44	49	71	39	48	58	47	56	39	44	38	40	53	41	37	38	50	29	50	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Torulaspora; s__globosa
4950	21	17	28	39	19	27	21	24	18	17	15	42	21	27	14	22	41	19	23	33	19	40	23	37	26	24	23	17	35	10	36	33	33	18	24	26	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Torulaspora; s__delbrueckii
4911	33	82	32	60	34	46	45	54	35	44	36	58	37	44	35	49	40	29	54	58	43	66	34	54	53	34	60	43	45	31	71	38	31	36	22	27	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kluyveromyces; s__marxianus
28985	19	31	22	27	27	31	36	36	23	21	20	39	62	25	23	18	44	22	27	29	36	48	24	38	31	32	32	19	38	18	29	14	38	30	22	24	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kluyveromyces; s__lactis
42260	32	51	23	48	40	40	69	47	47	33	25	61	48	65	37	56	40	44	56	48	37	44	34	62	62	33	36	21	62	23	55	37	36	32	31	30	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Zygotorulaspora; s__mrakii
4956	24	50	29	50	18	49	33	48	52	34	28	61	19	25	29	27	30	18	34	23	42	45	41	46	41	44	34	23	54	29	40	25	23	30	17	20	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Zygosaccharomyces; s__rouxii
42374	29	81	47	81	44	61	46	62	49	40	28	60	49	50	60	45	57	41	54	60	50	74	50	74	61	39	38	32	57	28	71	36	38	37	37	48	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__dubliniensis
5476	25	65	40	64	47	55	64	51	62	51	42	69	58	63	39	35	44	45	62	83	47	49	51	72	57	53	39	46	52	39	95	35	43	26	35	51	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__albicans
273371	19	56	35	49	28	65	53	43	23	44	22	57	42	44	32	29	63	49	60	57	27	63	45	73	61	35	37	33	69	31	73	40	29	45	33	52	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Candida; s__orthopsilosis
